"","0.05Fixed4.6","0.05Fixed6.4","0.05Fixed8.2","0.05Tracking4.6","0.05Tracking6.4","0.05Tracking8.2","0.10Fixed4.6","0.10Fixed6.4","0.10Fixed8.2","0.10Tracking4.6","0.10Tracking6.4","0.10Tracking8.2","0.20Fixed4.6","0.20Fixed6.4","0.20Fixed8.2","0.20Tracking4.6","0.20Tracking6.4","0.20Tracking8.2","0.30Fixed4.6","0.30Fixed6.4","0.30Fixed8.2","0.30Tracking4.6","0.30Tracking6.4","0.30Tracking8.2","0.40Fixed4.6","0.40Fixed6.4","0.40Fixed8.2","0.40Tracking4.6","0.40Tracking6.4","0.40Tracking8.2","0.45Fixed4.6","0.45Fixed6.4","0.45Fixed8.2","0.45Tracking4.6","0.45Tracking6.4","0.45Tracking8.2","0.50Fixed4.6","0.50Fixed6.4","0.50Fixed8.2","0.50Tracking4.6","0.50Tracking6.4","0.50Tracking8.2"
"0.0211Northern",NA,NA,NA,NA,NA,NA,1635,1635,1853,1635,1635,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0311Northern",NA,NA,NA,NA,NA,NA,1526,1635,1744,1526,1635,1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0411Northern",NA,NA,NA,NA,NA,NA,1417,1526,1744,1526,1526,1635,2071,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0214Northern",NA,NA,NA,NA,NA,NA,1417,1526,1635,1417,1526,1526,2071,NA,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0314Northern",NA,NA,NA,NA,NA,NA,1417,1417,1635,1417,1417,1526,1962,2071,NA,1962,2071,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0414Northern",NA,NA,NA,NA,NA,NA,1417,1417,1526,1417,1417,1417,1853,1962,NA,1853,1962,2071,2071,NA,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0217Northern",NA,NA,NA,NA,NA,NA,1417,1417,1526,1417,1417,1417,1853,1962,NA,1853,1962,2071,2071,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0317Northern",NA,NA,NA,NA,NA,NA,1308,1417,1526,1308,1417,1417,1744,1853,2180,1744,1853,1962,1962,2180,NA,1962,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0417Northern",NA,NA,NA,NA,NA,NA,1308,1308,1417,1308,1308,1417,1635,1744,2071,1635,1744,1853,1853,1962,NA,1853,1962,2180,2180,NA,NA,2180,NA,NA,2180,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA
"0.0211Central",NA,NA,NA,NA,NA,NA,1635,1635,1853,1635,1635,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0311Central",NA,NA,NA,NA,NA,NA,1526,1635,1744,1526,1635,1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0411Central",NA,NA,NA,NA,NA,NA,1417,1526,1744,1526,1526,1635,2071,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0214Central",NA,NA,NA,NA,NA,NA,1417,1526,1635,1417,1526,1526,2071,2180,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0314Central",NA,NA,NA,NA,NA,NA,1417,1417,1635,1417,1417,1526,1962,2071,NA,1962,2071,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0414Central",NA,NA,NA,NA,NA,NA,1308,1417,1526,1417,1417,1417,1744,1962,NA,1853,1962,2071,1962,NA,NA,2071,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0217Central",NA,NA,NA,NA,NA,NA,1417,1417,1526,1417,1417,1417,1853,1962,NA,1853,1962,2071,2071,NA,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0317Central",NA,NA,NA,NA,NA,NA,1308,1417,1526,1308,1417,1417,1744,1853,2180,1744,1853,1962,1962,2071,NA,1962,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0417Central",NA,NA,NA,NA,NA,NA,1308,1308,1417,1308,1308,1417,1635,1744,2071,1635,1744,1853,1853,1962,NA,1853,1962,2071,2180,NA,NA,2180,NA,NA,2180,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA
"0.0211Black Belt",NA,NA,NA,NA,NA,NA,1635,1635,1853,1635,1635,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0311Black Belt",NA,NA,NA,NA,NA,NA,1526,1635,1744,1526,1635,1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0411Black Belt",NA,NA,NA,NA,NA,NA,1417,1526,1744,1417,1526,1635,2071,NA,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0214Black Belt",NA,NA,NA,NA,NA,NA,1417,1526,1635,1417,1526,1526,2071,2180,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0314Black Belt",NA,NA,NA,NA,NA,NA,1417,1417,1526,1417,1417,1526,1962,2071,NA,1962,2071,2180,2180,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0414Black Belt",NA,NA,NA,NA,NA,NA,1308,1417,1526,1417,1417,1417,1744,1962,NA,1853,1962,2071,1962,NA,NA,2071,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0217Black Belt",NA,NA,NA,NA,NA,NA,1417,1417,1526,1417,1417,1417,1853,1962,2180,1853,1962,2071,2071,NA,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0317Black Belt",NA,NA,NA,NA,NA,NA,1308,1417,1526,1308,1417,1417,1744,1853,2180,1744,1853,1962,1962,2071,NA,1962,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0417Black Belt",NA,NA,NA,NA,NA,NA,1308,1308,1417,1308,1308,1417,1635,1744,2071,1635,1744,1853,1744,1962,NA,1853,1962,2071,2071,NA,NA,2180,NA,NA,2071,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA
"0.0211Southern",NA,NA,NA,NA,NA,NA,1635,1635,1853,1635,1635,1744,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0311Southern",NA,NA,NA,NA,NA,NA,1526,1635,1744,1526,1635,1635,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0411Southern",NA,NA,NA,NA,NA,NA,1417,1526,1744,1417,1526,1635,2071,NA,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0214Southern",NA,NA,NA,NA,NA,NA,1417,1526,1635,1417,1526,1526,2071,2180,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0314Southern",NA,NA,NA,NA,NA,NA,1417,1417,1526,1417,1417,1526,1962,2071,NA,1962,2071,2180,2180,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0414Southern",NA,NA,NA,NA,NA,NA,1308,1417,1526,1308,1417,1417,1744,1962,NA,1744,1962,2071,1962,NA,NA,1962,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0217Southern",NA,NA,NA,NA,NA,NA,1417,1417,1526,1417,1417,1417,1853,1962,2180,1853,1962,2071,2071,NA,NA,2071,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0317Southern",NA,NA,NA,NA,NA,NA,1308,1417,1526,1308,1417,1417,1744,1853,2180,1744,1853,1962,1962,2071,NA,1962,2071,2180,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"0.0417Southern",NA,NA,NA,NA,NA,NA,1308,1308,1417,1308,1308,1417,1635,1744,2071,1635,1744,1853,1744,1962,NA,1853,1962,2071,2071,NA,NA,2180,NA,NA,2071,NA,NA,2180,NA,NA,NA,NA,NA,NA,NA,NA
